Indicador,Agua,Ar,Solo,Desmatamento,Invasao Ambiental,Seguranca,Educacao,Saude,Infraestrutura Urbana,Invasao Social
25,2.908,2.716,2.273,2.733,1.83,2.981,2.263,2.763,2.712,2.635
44,2.913,2.716,2.275,2.748,1.83,3.07,2.267,2.687,2.725,2.64
11,2.94,2.58,2.285,2.76,1.835,3.089,2.277,2.788,2.733,2.66
59,2.96,2.762,2.295,2.788,1.845,3.124,2.287,2.811,2.756,1.69
15,2.927,2.724,2.138,2.753,1.835,3.085,2.27,2.783,2.731,2.655
21,2.912,2.716,2.275,2.543,1.83,3.07,2.267,2.765,2.725,2.64
55,2.925,2.722,2.278,2.75,1.83,3.073,2.27,2.77,2.672,2.645
19,2.925,2.722,2.282,2.56,1.835,3.084,2.272,2.771,2.729,2.655
30,2.943,2.744,2.288,2.768,1.84,3.023,2.282,2.791,2.738,2.675
34,2.948,2.746,2.29,2.78,1.84,3.109,2.138,2.795,2.751,2.675
